x,y
0.300000,0.404958
0.330000,0.459019
0.360000,0.515999
0.390000,0.576023
0.420000,0.639224
0.450000,0.705740
0.480000,0.775716
0.510000,0.849299
0.540000,0.926644
0.570000,1.007912
0.600000,1.093271
0.630000,1.182895
0.660000,1.276963
0.690000,1.375664
0.720000,1.479192
0.750000,1.587750
0.780000,1.701548
0.810000,1.820805
0.840000,1.945748
0.870000,2.076612
0.900000,2.213643
0.930000,2.357094
0.960000,2.507229
0.990000,2.664322
1.020000,2.828659
1.050000,3.000534
1.080000,3.180254
1.110000,3.368138
1.140000,3.564516
1.170000,3.769731
1.200000,3.984140
1.230000,4.208112
1.260000,4.442031
1.290000,4.686295
1.320000,4.941316
1.350000,5.207524
1.380000,5.485364
1.410000,5.775297
1.440000,6.077802
1.470000,6.393376
1.500000,6.722534
1.530000,7.065811
1.560000,7.423761
1.590000,7.796961
1.620000,8.186006
1.650000,8.591517
1.680000,9.014134
1.710000,9.454524
1.740000,9.913378
1.770000,10.391410
1.800000,10.889365
1.830000,11.408013
1.860000,11.948150
1.890000,12.510607
1.920000,13.096240
1.950000,13.705941
1.980000,14.340631
2.010000,15.001268
2.040000,15.688843
2.070000,16.404384
2.100000,17.148957
2.130000,17.923666
2.160000,18.729657
2.190000,19.568117
2.220000,20.440275
2.250000,21.347406
2.280000,22.290831
2.310000,23.271921
2.340000,24.292094
2.370000,25.352820
2.400000,26.455623
2.430000,27.602083
2.460000,28.793836
2.490000,30.032578
2.520000,31.320064
2.550000,32.658115
2.580000,34.048616
2.610000,35.493523
2.640000,36.994858
2.670000,38.554718
2.700000,40.175276
2.730000,41.858782
2.760000,43.607567
2.790000,45.424045
2.820000,47.310719
2.850000,49.270178
2.880000,51.305107
2.910000,53.418284
2.940000,55.612588
2.970000,57.891001
3.000000,60.256611
3.030000,62.712615
3.060000,65.262325
3.090000,67.909171
3.120000,70.656704
3.150000,73.508603
3.180000,76.468676
3.210000,79.540867
3.240000,82.729258
3.270000,86.038080
3.300000,89.471708
3.330000,93.034678
3.360000,96.731681
3.390000,100.567578
3.420000,104.547399
3.450000,108.676353
3.480000,112.959833
3.510000,117.403420
3.540000,122.012894
3.570000,126.794238
3.600000,131.753644
3.630000,136.897524
3.660000,142.232515
3.690000,147.765485
3.720000,153.503546
3.750000,159.454058
3.780000,165.624638
3.810000,172.023172
3.840000,178.657822
3.870000,185.537034
3.900000,192.669552
3.930000,200.064422
3.960000,207.731011
3.990000,215.679009
4.020000,223.918445
4.050000,232.459701
4.080000,241.313517
4.110000,250.491009
4.140000,260.003681
4.170000,269.863435
4.200000,280.082590
4.230000,290.673892
4.260000,301.650530
4.290000,313.026150
4.320000,324.814874
4.350000,337.031314
4.380000,349.690586
4.410000,362.808334
4.440000,376.400741
4.470000,390.484552
4.500000,405.077091
4.530000,420.196282
4.560000,435.860668
4.590000,452.089434
4.620000,468.902428
4.650000,486.320183
4.680000,504.363940
4.710000,523.055673
4.740000,542.418116
4.770000,562.474784
4.800000,583.250004
4.830000,604.768940
4.860000,627.057622
4.890000,650.142977
4.920000,674.052857
4.950000,698.816071
4.980000,724.462421
5.010000,751.022728
5.040000,778.528876
5.070000,807.013840
5.100000,836.511727
5.130000,867.057816
5.160000,898.688591
5.190000,931.441790
5.220000,965.356441
5.250000,1000.472909
5.280000,1036.832942
5.310000,1074.479713
5.340000,1113.457873
5.370000,1153.813600
5.400000,1195.594648
5.430000,1238.850403
5.460000,1283.631937
5.490000,1329.992066
5.520000,1377.985405
5.550000,1427.668435
5.580000,1479.099560
5.610000,1532.339175
5.640000,1587.449732
