x,y
5.310000,0.139343
5.340000,0.136757
5.370000,0.134211
5.400000,0.131704
5.430000,0.129235
5.460000,0.126805
5.490000,0.124414
5.520000,0.122060
5.550000,0.119743
5.580000,0.117464
5.610000,0.115222
5.640000,0.113015
5.670000,0.110845
5.700000,0.108710
5.730000,0.106611
5.760000,0.104546
5.790000,0.102516
5.820000,0.100520
5.850000,0.098557
5.880000,0.096628
5.910000,0.094732
5.940000,0.092867
5.970000,0.091035
6.000000,0.089235
6.030000,0.087466
6.060000,0.085728
6.090000,0.084020
6.120000,0.082342
6.150000,0.080694
6.180000,0.079075
6.210000,0.077484
6.240000,0.075923
6.270000,0.074389
6.300000,0.072883
6.330000,0.071404
6.360000,0.069952
6.390000,0.068527
6.420000,0.067127
6.450000,0.065754
6.480000,0.064405
6.510000,0.063082
6.540000,0.061783
6.570000,0.060508
6.600000,0.059258
6.630000,0.058030
6.660000,0.056826
6.690000,0.055644
6.720000,0.054485
6.750000,0.053348
6.780000,0.052233
6.810000,0.051139
6.840000,0.050065
6.870000,0.049013
6.900000,0.047981
6.930000,0.046968
6.960000,0.045976
6.990000,0.045002
7.020000,0.044048
7.050000,0.043112
7.080000,0.042195
7.110000,0.041296
7.140000,0.040414
7.170000,0.039550
7.200000,0.038703
7.230000,0.037873
7.260000,0.037059
7.290000,0.036262
7.320000,0.035480
7.350000,0.034714
7.380000,0.033964
7.410000,0.033229
7.440000,0.032508
7.470000,0.031803
7.500000,0.031111
7.530000,0.030434
7.560000,0.029770
7.590000,0.029120
7.620000,0.028483
7.650000,0.027859
7.680000,0.027248
7.710000,0.026650
7.740000,0.026064
7.770000,0.025490
7.800000,0.024928
7.830000,0.024378
7.860000,0.023839
7.890000,0.023312
7.920000,0.022795
7.950000,0.022289
7.980000,0.021794
8.010000,0.021309
8.040000,0.020835
8.070000,0.020370
8.100000,0.019915
8.130000,0.019470
8.160000,0.019034
8.190000,0.018608
8.220000,0.018190
8.250000,0.017782
8.280000,0.017382
8.310000,0.016991
8.340000,0.016608
8.370000,0.016233
8.400000,0.015867
8.430000,0.015508
8.460000,0.015157
8.490000,0.014813
8.520000,0.014477
8.550000,0.014149
8.580000,0.013827
8.610000,0.013512
8.640000,0.013205
8.670000,0.012903
8.700000,0.012609
8.730000,0.012321
8.760000,0.012039
8.790000,0.011763
8.820000,0.011494
8.850000,0.011230
8.880000,0.010972
8.910000,0.010720
8.940000,0.010473
8.970000,0.010232
9.000000,0.009996
9.030000,0.009766
9.060000,0.009540
9.090000,0.009319
9.120000,0.009104
9.150000,0.008893
9.180000,0.008687
9.210000,0.008485
9.240000,0.008288
9.270000,0.008096
9.300000,0.007907
9.330000,0.007723
9.360000,0.007543
9.390000,0.007367
9.420000,0.007195
9.450000,0.007027
9.480000,0.006863
9.510000,0.006702
9.540000,0.006545
9.570000,0.006392
9.600000,0.006242
9.630000,0.006095
9.660000,0.005952
9.690000,0.005812
9.720000,0.005675
9.750000,0.005542
9.780000,0.005411
9.810000,0.005283
9.840000,0.005159
9.870000,0.005037
9.900000,0.004918
9.930000,0.004801
9.960000,0.004688
9.990000,0.004576
10.020000,0.004468
10.050000,0.004362
10.080000,0.004258
10.110000,0.004157
10.140000,0.004058
10.170000,0.003962
10.200000,0.003867
10.230000,0.003775
10.260000,0.003685
10.290000,0.003597
10.320000,0.003511
10.350000,0.003427
10.380000,0.003345
10.410000,0.003265
10.440000,0.003187
10.470000,0.003110
10.500000,0.003036
10.530000,0.002963
10.560000,0.002892
10.590000,0.002822
10.620000,0.002754
10.650000,0.002688
10.680000,0.002623
10.710000,0.002560
10.740000,0.002499
10.770000,0.002438
10.800000,0.002379
10.830000,0.002322
10.860000,0.002266
10.890000,0.002211
10.920000,0.002157
10.950000,0.002105
10.980000,0.002054
11.010000,0.002004
11.040000,0.001956
11.070000,0.001908
11.100000,0.001862
11.130000,0.001817
11.160000,0.001773
11.190000,0.001729
11.220000,0.001687
11.250000,0.001646
11.280000,0.001606
11.310000,0.001567
11.340000,0.001529
11.370000,0.001491
11.400000,0.001455
11.430000,0.001419
11.460000,0.001385
11.490000,0.001351
11.520000,0.001318
11.550000,0.001285
11.580000,0.001254
11.610000,0.001223
11.640000,0.001193
11.670000,0.001164
11.700000,0.001135
11.730000,0.001107
11.760000,0.001080
11.790000,0.001054
11.820000,0.001028
11.850000,0.001002
11.880000,0.000978
11.910000,0.000954
11.940000,0.000930
11.970000,0.000907
12.000000,0.000885
12.030000,0.000863
12.060000,0.000842
12.090000,0.000821
12.120000,0.000800
12.150000,0.000781
12.180000,0.000761
12.210000,0.000742
12.240000,0.000724
12.270000,0.000706
12.300000,0.000689
12.330000,0.000672
12.360000,0.000655
12.390000,0.000639
12.420000,0.000623
12.450000,0.000607
12.480000,0.000592
12.510000,0.000577
12.540000,0.000563
12.570000,0.000549
12.600000,0.000535
12.630000,0.000522
12.660000,0.000509
12.690000,0.000496
12.720000,0.000484
12.750000,0.000472
12.780000,0.000460
12.810000,0.000449
12.840000,0.000437
12.870000,0.000426
12.900000,0.000416
12.930000,0.000405
12.960000,0.000395
12.990000,0.000385
13.020000,0.000376
13.050000,0.000366
13.080000,0.000357
13.110000,0.000348
13.140000,0.000339
13.170000,0.000331
13.200000,0.000322
13.230000,0.000314
13.260000,0.000306
13.290000,0.000299
13.320000,0.000291
13.350000,0.000284
13.380000,0.000277
13.410000,0.000270
13.440000,0.000263
13.470000,0.000256
13.500000,0.000250
13.530000,0.000244
13.560000,0.000237
13.590000,0.000231
13.620000,0.000226
13.650000,0.000220
13.680000,0.000214
13.710000,0.000209
13.740000,0.000204
13.770000,0.000198
13.800000,0.000193
13.830000,0.000189
13.860000,0.000184
13.890000,0.000179
13.920000,0.000175
13.950000,0.000170
13.980000,0.000166
14.010000,0.000162
14.040000,0.000157
14.070000,0.000153
14.100000,0.000150
14.130000,0.000146
14.160000,0.000142
14.190000,0.000138
14.220000,0.000135
14.250000,0.000132
14.280000,0.000128
14.310000,0.000125
14.340000,0.000122
14.370000,0.000119
14.400000,0.000116
14.430000,0.000113
14.460000,0.000110
14.490000,0.000107
14.520000,0.000104
14.550000,0.000102
14.580000,0.000099
14.610000,0.000096
14.640000,0.000094
14.670000,0.000092
14.700000,0.000089
14.730000,0.000087
14.760000,0.000085
14.790000,0.000083
14.820000,0.000080
14.850000,0.000078
14.880000,0.000076
14.910000,0.000074
14.940000,0.000073
14.970000,0.000071
15.000000,0.000069
